TransactionID,CustomerID,TransactionDate,OrderMonth,OrderDayOfWeek,ProductCategory,TransactionAmount,Quantity,NumberOfLineItems,IsStandardOrder,IsUrgent,CustomerServiceInteractionRequired,OrderIntensityLevel,ServiceCostMultiplier
TXN-2023-000001,CUST-001,2023-01-03,1,Tuesday,Grocery,1442.25,57,5,True,True,False,Medium,1.3
TXN-2023-000002,CUST-001,2023-01-14,1,Saturday,Grocery,2457.25,98,1,False,False,False,Medium,1.5
TXN-2023-000003,CUST-001,2023-02-28,2,Tuesday,Fresh,1043.33,41,5,True,False,False,Low,1.0
TXN-2023-000004,CUST-001,2023-03-18,3,Saturday,Grocery,3973.08,158,2,True,False,False,Low,1.0
TXN-2023-000005,CUST-001,2023-03-18,3,Saturday,Grocery,3973.08,158,2,True,False,False,Low,1.0
TXN-2023-000006,CUST-001,2023-04-15,4,Saturday,Fresh,2787.21,111,4,False,False,False,Medium,1.5
TXN-2023-000007,CUST-001,2023-05-18,5,Thursday,Milk,1420.33,56,2,True,False,False,Low,1.0
TXN-2023-000008,CUST-001,2023-06-15,6,Thursday,Fresh,1460.44,58,1,True,False,False,Low,1.0
TXN-2023-000009,CUST-001,2023-07-24,7,Monday,Fresh,2143.21,85,3,True,False,False,Low,1.0
TXN-2023-000010,CUST-001,2023-08-05,8,Saturday,DetergentsPaper,729.56,29,2,True,False,False,Low,1.0
TXN-2023-000011,CUST-001,2023-09-02,9,Saturday,Fresh,560.89,22,5,True,False,False,Low,1.0
TXN-2023-000012,CUST-001,2023-10-01,10,Sunday,Milk,2567.79,102,3,True,False,False,Low,1.0
TXN-2023-000013,CUST-001,2023-10-07,10,Saturday,Fresh,3951.71,158,2,False,False,True,High,1.8
TXN-2023-000014,CUST-001,2023-11-07,11,Tuesday,Milk,1696.28,67,5,True,False,False,Low,1.0
TXN-2023-000015,CUST-001,2023-11-13,11,Monday,Milk,2039.2,81,5,True,False,False,Low,1.0
TXN-2023-000016,CUST-001,2023-12-22,12,Friday,Frozen,1866.38,74,2,True,False,False,Low,1.0
TXN-2023-000017,CUST-002,2023-01-07,1,Saturday,Milk,2099.6,83,1,True,False,False,Low,1.0
