TransactionID,CustomerID,ProductCategory,OrderIntensity,IsCustomOrder,Quantity,NumberOfLineItems,OrderWeight_kg,TransactionAmount_EUR,PickPackCost_EUR,ReceivingCost_EUR,PutawayCost_EUR,StorageCost_EUR,IndirectLaborCost_EUR,InboundTransportCost_EUR,ShrinkageCost_EUR,ReturnsCost_EUR,EquipmentTechCost_EUR,ColdChainMultiplier,ServiceCostMultiplier,TotalWarehouseOperationsCost_EUR,CostPerUnit_EUR
TXN-2023-000001,CUST-001,Grocery,Medium,False,57,5,270.13,1442.25,30.0,5.0,37.05,40.52,10.81,10.0,14.42,14.42,6.17,1.0,1.3,218.91,3.84
TXN-2023-000002,CUST-001,Grocery,Medium,False,98,1,464.44,2457.25,6.0,5.0,63.7,69.67,11.21,10.0,24.57,24.57,7.78,1.0,1.5,333.74,3.41
TXN-2023-000003,CUST-001,Fresh,Low,False,41,5,108.43,1043.33,37.5,5.0,26.65,32.53,10.37,10.0,52.17,31.3,5.6,1.5,1.0,316.68,7.72
TXN-2023-000004,CUST-001,Grocery,Low,False,158,2,748.79,3973.08,12.0,5.0,102.7,74.88,17.95,10.0,39.73,39.73,10.63,1.0,1.0,312.62,1.98
TXN-2023-000005,CUST-001,Grocery,Low,False,158,2,748.79,3973.08,12.0,5.0,102.7,74.88,17.95,10.0,39.73,39.73,10.63,1.0,1.0,312.62,1.98
TXN-2023-000006,CUST-001,Fresh,Medium,False,111,4,293.54,2787.21,30.0,5.0,72.15,132.1,16.07,10.0,139.36,83.62,12.77,1.5,1.5,1127.39,10.16
TXN-2023-000007,CUST-001,Milk,Low,False,56,2,49.15,1420.33,13.0,5.0,36.4,17.2,8.16,10.0,42.61,28.41,3.99,1.5,1.0,247.15,4.41
TXN-2023-000008,CUST-001,Fresh,Low,False,58,1,153.38,1460.44,7.5,5.0,37.7,46.02,7.53,10.0,73.02,43.81,5.19,1.5,1.0,353.65,6.1
TXN-2023-000009,CUST-001,Fresh,Low,False,85,3,224.79,2143.21,22.5,5.0,55.25,67.44,12.41,10.0,107.16,64.3,8.13,1.5,1.0,528.28,6.22
TXN-2023-000010,CUST-001,DetergentsPaper,Low,False,29,2,29.45,729.56,11.0,5.0,18.85,2.36,5.23,10.0,3.65,3.65,2.12,1.0,1.0,61.85,2.13
TXN-2023-000011,CUST-001,Fresh,Low,False,22,5,58.18,560.89,37.5,5.0,14.3,17.45,8.52,10.0,28.04,16.83,4.14,1.5,1.0,212.68,9.67
TXN-2023-000012,CUST-001,Milk,Low,False,102,3,89.52,2567.79,19.5,5.0,66.3,31.33,13.62,10.0,77.03,51.36,6.79,1.5,1.0,421.39,4.13
