TRANSACTIONID,CUSTOMERID,TRANSACTIONAMOUNT,ISSTANDARDORDER,ISURGENT,PRODUCTCATEGORY,WAREHOUSE_COST_BASE,URGENT_SURCHARGE,TOTAL_WAREHOUSE_COST
TXN-2023-000001,CUST-001,1442.25,true,true,Grocery,28.85,14.42,43.27
TXN-2023-000002,CUST-001,2457.25,false,false,Grocery,61.43,0.00,61.43
TXN-2023-000003,CUST-001,1043.33,true,false,Fresh,20.87,0.00,20.87
TXN-2023-000004,CUST-001,3973.08,true,false,Grocery,99.33,0.00,99.33
TXN-2023-000005,CUST-001,3973.08,true,false,Grocery,99.33,0.00,99.33
TXN-2023-000006,CUST-001,2787.21,false,false,Fresh,69.68,0.00,69.68
TXN-2023-000007,CUST-001,1420.33,true,false,Milk,28.41,0.00,28.41
TXN-2023-000008,CUST-001,1460.44,true,false,Fresh,29.21,0.00,29.21
TXN-2023-000009,CUST-001,2143.21,true,false,Fresh,53.58,0.00,53.58
TXN-2023-000010,CUST-001,729.56,true,false,DetergentsPaper,14.59,0.00,14.59
TXN-2023-000011,CUST-001,560.89,true,false,Fresh,11.22,0.00,11.22
TXN-2023-000012,CUST-001,2567.79,true,false,Milk,64.19,0.00,64.19
TXN-2023-000013,CUST-001,3951.71,false,false,Fresh,98.79,0.00,98.79
TXN-2023-000014,CUST-001,1696.28,true,false,Milk,33.93,0.00,33.93
TXN-2023-000015,CUST-001,2039.20,true,false,Milk,50.98,0.00,50.98
TXN-2023-000016,CUST-001,1866.38,true,false,Frozen,37.33,0.00,37.33
TXN-2023-000017,CUST-002,2099.60,true,false,Milk,52.49,0.00,52.49
TXN-2023-000018,CUST-002,3629.81,true,false,Milk,90.75,0.00,90.75
TXN-2023-000019,CUST-002,2136.44,true,false,Milk,53.41,0.00,53.41
TXN-2023-000020,CUST-002,3491.56,true,false,Milk,87.29,0.00,87.29
TXN-2023-000021,CUST-002,2049.78,true,false,Frozen,51.24,0.00,51.24
TXN-2023-000022,CUST-002,1199.65,true,false,Grocery,23.99,0.00,23.99
TXN-2023-000023,CUST-002,1613.87,true,false,Fresh,32.28,0.00,32.28
TXN-2023-000024,CUST-002,1935.69,true,false,Milk,38.71,0.00,38.71
TXN-2023-000025,CUST-002,1228.88,true,false,Grocery,24.58,0.00,24.58
TXN-2023-000026,CUST-002,2020.74,true,false,Fresh,50.52,0.00,50.52
TXN-2023-000027,CUST-002,1584.54,true,false,Milk,31.69,0.00,31.69
TXN-2023-000028,CUST-002,1657.17,true,false,Fresh,33.14,0.00,33.14
TXN-2023-000029,CUST-002,2776.68,true,false,Grocery,69.42,0.00,69.42
TXN-2023-000030,CUST-002,907.22,true,true,Grocery,18.14,9.07,27.22
TXN-2023-000031,CUST-002,2474.52,true,false,Grocery,61.86,0.00,61.86
TXN-2023-000032,CUST-002,2459.85,true,false,Grocery,61.50,0.00,61.50
TXN-2023-000033,CUST-003,7355.12,true,false,DetergentsPaper,183.88,0.00,183.88
TXN-2023-000034,CUST-003,3588.89,true,false,Milk,89.72,0.00,89.72
TXN-2023-000035,CUST-003,3416.48,true,false,Grocery,85.41,0.00,85.41
TXN-2023-000036,CUST-003,1561.35,true,false,Fresh,31.23,0.00,31.23
TXN-2023-000037,CUST-003,1404.01,true,true,Delicatessen,28.08,14.04,42.12
TXN-2023-000038,CUST-003,3032.51,true,false,Frozen,75.81,0.00,75.81
TXN-2023-000039,CUST-003,4636.80,false,false,Delicatessen,115.92,0.00,115.92
TXN-2023-000040,CUST-003,1295.43,true,false,Milk,25.91,0.00,25.91
TXN-2023-000041,CUST-003,2130.17,true,false,Fresh,53.25,0.00,53.25
TXN-2023-000042,CUST-003,2540.88,true,false,Delicatessen,63.52,0.00,63.52
TXN-2023-000043,CUST-003,3811.44,false,false,Grocery,95.29,0.00,95.29
TXN-2023-000044,CUST-003,1836.92,true,false,Frozen,36.74,0.00,36.74
TXN-2023-000045,CUST-004,658.59,false,false,Fresh,13.17,0.00,13.17
TXN-2023-000046,CUST-004,802.01,true,false,Fresh,16.04,0.00,16.04
TXN-2023-000047,CUST-004,1746.71,false,false,Fresh,34.93,0.00,34.93
TXN-2023-000048,CUST-004,672.90,true,false,Frozen,13.46,0.00,13.46
TXN-2023-000049,CUST-004,309.44,false,false,Delicatessen,6.19,0.00,6.19
TXN-2023-000050,CUST-004,1510.24,true,false,Fresh,30.20,0.00,30.20
TXN-2023-000051,CUST-004,1131.87,false,false,Milk,22.64,0.00,22.64
TXN-2023-000052,CUST-004,421.72,false,false,Delicatessen,8.43,0.00,8.43
TXN-2023-000053,CUST-004,427.59,false,false,Grocery,8.55,0.00,8.55
TXN-2023-000054,CUST-004,526.61,false,false,Frozen,10.53,0.00,10.53
TXN-2023-000055,CUST-004,533.51,true,false,Grocery,10.67,0.00,10.67
TXN-2023-000056,CUST-004,1531.76,true,false,Fresh,30.64,0.00,30.64
TXN-2023-000057,CUST-004,594.93,true,false,Frozen,11.90,0.00,11.90
TXN-2023-000058,CUST-004,376.86,false,false,Fresh,7.54,0.00,7.54
TXN-2023-000059,CUST-004,472.27,false,true,Grocery,9.45,4.72,14.17
TXN-2023-000060,CUST-004,210.88,true,true,Frozen,4.22,2.11,6.33
TXN-2023-000061,CUST-004,486.94,true,false,Fresh,9.74,0.00,9.74
TXN-2023-000062,CUST-004,644.05,false,false,Frozen,12.88,0.00,12.88
TXN-2023-000063,CUST-004,482.10,true,true,Frozen,9.64,4.82,14.46
TXN-2023-000064,CUST-004,641.33,true,true,Frozen,12.83,6.41,19.24
TXN-2023-000065,CUST-004,1234.97,false,false,Fresh,24.70,0.00,24.70
TXN-2023-000066,CUST-004,293.02,true,false,Grocery,5.86,0.00,5.86
TXN-2023-000067,CUST-004,2956.27,false,false,Fresh,73.91,0.00,73.91
TXN-2023-000068,CUST-004,626.56,false,false,Fresh,12.53,0.00,12.53
TXN-2023-000069,CUST-004,542.91,false,false,Frozen,10.86,0.00,10.86
TXN-2023-000070,CUST-004,619.32,true,false,Fresh,12.39,0.00,12.39
TXN-2023-000071,CUST-004,814.10,true,false,DetergentsPaper,16.28,0.00,16.28
TXN-2023-000072,CUST-004,1006.69,true,false,Fresh,20.13,0.00,20.13
TXN-2023-000073,CUST-004,358.16,true,false,Fresh,7.16,0.00,7.16
TXN-2023-000074,CUST-004,665.35,false,false,Fresh,13.31,0.00,13.31
TXN-2023-000075,CUST-004,846.91,true,false,Delicatessen,16.94,0.00,16.94
TXN-2023-000076,CUST-004,622.44,false,false,Fresh,12.45,0.00,12.45
TXN-2023-000077,CUST-004,771.92,false,true,Grocery,15.44,7.72,23.16
TXN-2023-000078,CUST-004,1020.95,true,false,Fresh,20.42,0.00,20.42
TXN-2023-000079,CUST-004,429.95,true,false,Fresh,8.60,0.00,8.60
TXN-2023-000080,CUST-004,389.21,true,false,Frozen,7.78,0.00,7.78
TXN-2023-000081,CUST-005,5021.30,true,false,Milk,125.53,0.00,125.53
TXN-2023-000082,CUST-005,1227.66,true,false,Fresh,24.55,0.00,24.55
TXN-2023-000083,CUST-005,4606.69,true,false,Milk,115.17,0.00,115.17
TXN-2023-000084,CUST-005,2761.95,false,false,Fresh,69.05,0.00,69.05
TXN-2023-000085,CUST-005,4560.86,true,false,Fresh,114.02,0.00,114.02
TXN-2023-000086,CUST-005,2808.61,true,false,Frozen,70.22,0.00,70.22
TXN-2023-000087,CUST-005,7670.87,true,false,Fresh,191.77,0.00,191.77
TXN-2023-000088,CUST-005,3314.40,true,false,Fresh,82.86,0.00,82.86
TXN-2023-000089,CUST-005,2936.20,true,false,Fresh,73.41,0.00,73.41
TXN-2023-000090,CUST-005,4404.73,true,false,Fresh,110.12,0.00,110.12
TXN-2023-000091,CUST-005,1381.12,false,false,Grocery,27.62,0.00,27.62
TXN-2023-000092,CUST-005,5405.59,true,false,Milk,135.14,0.00,135.14
TXN-2023-000093,CUST-006,1111.29,true,false,Grocery,22.23,0.00,22.23
TXN-2023-000094,CUST-006,2021.28,true,false,Delicatessen,50.53,0.00,50.53
TXN-2023-000095,CUST-006,1576.73,true,false,Grocery,31.53,0.00,31.53
TXN-2023-000096,CUST-006,2067.21,true,false,Fresh,51.68,0.00,51.68
TXN-2023-000097,CUST-006,472.74,true,false,Fresh,9.45,0.00,9.45
TXN-2023-000098,CUST-006,2199.66,true,false,Milk,54.99,0.00,54.99
TXN-2023-000099,CUST-006,1444.23,true,false,Milk,28.88,0.00,28.88
TXN-2023-000100,CUST-006,1962.95,true,false,DetergentsPaper,39.26,0.00,39.26
TXN-2023-000101,CUST-006,641.01,true,false,Grocery,12.82,0.00,12.82
TXN-2023-000102,CUST-006,1709.26,true,false,DetergentsPaper,34.19,0.00,34.19
TXN-2023-000103,CUST-006,1025.85,true,false,Grocery,20.52,0.00,20.52
TXN-2023-000104,CUST-006,943.25,true,false,Fresh,18.87,0.00,18.87
TXN-2023-000105,CUST-006,1407.14,true,false,Milk,28.14,0.00,28.14
