TransactionID,CustomerID,ProductCategory,Quantity,OrderWeight_kg,TransactionAmount_EUR,IsStandardOrder,IsUrgent,BaseShippingCost_EUR,WeightSurchargeCost_EUR,ColdChainPremium_EUR,UrgencyPremium_EUR,TotalShippingCost_EUR,ShippingCostPerUnit_EUR
TXN-2023-000001,CUST-001,Grocery,57,270.13,1442.25,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000002,CUST-001,Grocery,98,464.44,2457.25,False,False,20.0,348.33,0.0,0.0,368.33,3.76
TXN-2023-000003,CUST-001,Fresh,41,108.43,1043.33,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000004,CUST-001,Grocery,158,748.79,3973.08,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000005,CUST-001,Grocery,158,748.79,3973.08,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000006,CUST-001,Fresh,111,293.54,2787.21,False,False,20.0,220.16,20.0,0.0,260.16,2.34
TXN-2023-000007,CUST-001,Milk,56,49.15,1420.33,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000008,CUST-001,Fresh,58,153.38,1460.44,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000009,CUST-001,Fresh,85,224.79,2143.21,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000010,CUST-001,DetergentsPaper,29,29.45,729.56,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000011,CUST-001,Fresh,22,58.18,560.89,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000012,CUST-001,Milk,102,89.52,2567.79,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000013,CUST-001,Fresh,158,417.84,3951.71,False,False,20.0,313.38,20.0,0.0,353.38,2.24
TXN-2023-000014,CUST-001,Milk,67,58.8,1696.28,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000015,CUST-001,Milk,81,71.09,2039.2,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000016,CUST-001,Frozen,74,115.31,1866.38,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000017,CUST-002,Milk,83,72.84,2099.6,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000018,CUST-002,Milk,145,127.25,3629.81,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000019,CUST-002,Milk,85,74.6,2136.44,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000020,CUST-002,Milk,139,121.99,3491.56,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000021,CUST-002,Frozen,81,126.22,2049.78,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000022,CUST-002,Grocery,47,222.74,1199.65,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000023,CUST-002,Fresh,64,169.25,1613.87,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000024,CUST-002,Milk,77,67.58,1935.69,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000025,CUST-002,Grocery,49,232.22,1228.88,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000026,CUST-002,Fresh,80,211.56,2020.74,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000027,CUST-002,Milk,63,55.29,1584.54,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000028,CUST-002,Fresh,66,174.54,1657.17,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000029,CUST-002,Grocery,111,526.05,2776.68,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000030,CUST-002,Grocery,36,170.61,907.22,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000031,CUST-002,Grocery,98,464.44,2474.52,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000032,CUST-002,Grocery,98,464.44,2459.85,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000033,CUST-003,DetergentsPaper,294,298.59,7355.12,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000034,CUST-003,Milk,143,125.5,3588.89,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000035,CUST-003,Grocery,136,644.53,3416.48,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000036,CUST-003,Fresh,62,163.96,1561.35,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000037,CUST-003,Delicatessen,56,34.36,1404.01,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000038,CUST-003,Frozen,121,188.55,3032.51,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000039,CUST-003,Delicatessen,185,113.5,4636.8,False,False,20.0,85.12,18.0,0.0,123.12,0.67
TXN-2023-000040,CUST-003,Milk,51,44.76,1295.43,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000041,CUST-003,Fresh,85,224.79,2130.17,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000042,CUST-003,Delicatessen,101,61.96,2540.88,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000043,CUST-003,Grocery,152,720.36,3811.44,False,False,20.0,540.27,0.0,0.0,560.27,3.69
TXN-2023-000044,CUST-003,Frozen,73,113.75,1836.92,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000045,CUST-004,Fresh,26,68.76,658.59,False,False,20.0,51.57,20.0,0.0,91.57,3.52
TXN-2023-000046,CUST-004,Fresh,32,84.63,802.01,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000047,CUST-004,Fresh,69,182.47,1746.71,False,False,20.0,136.86,20.0,0.0,176.86,2.56
TXN-2023-000048,CUST-004,Frozen,26,40.51,672.9,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000049,CUST-004,Delicatessen,12,7.36,309.44,False,False,20.0,5.52,18.0,0.0,43.52,3.63
TXN-2023-000050,CUST-004,Fresh,60,158.67,1510.24,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000051,CUST-004,Milk,45,39.49,1131.87,False,False,20.0,29.62,15.0,0.0,64.62,1.44
TXN-2023-000052,CUST-004,Delicatessen,16,9.82,421.72,False,False,20.0,7.36,18.0,0.0,45.36,2.84
TXN-2023-000053,CUST-004,Grocery,17,80.57,427.59,False,False,20.0,60.42,0.0,0.0,80.42,4.73
TXN-2023-000054,CUST-004,Frozen,21,32.72,526.61,False,False,20.0,24.54,0.0,0.0,44.54,2.12
TXN-2023-000055,CUST-004,Grocery,21,99.52,533.51,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000056,CUST-004,Fresh,61,161.32,1531.76,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000057,CUST-004,Frozen,23,35.84,594.93,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000058,CUST-004,Fresh,15,39.67,376.86,False,False,20.0,29.75,20.0,0.0,69.75,4.65
TXN-2023-000059,CUST-004,Grocery,18,85.31,472.27,False,True,20.0,63.98,0.0,20.0,103.98,5.78
TXN-2023-000060,CUST-004,Frozen,8,12.47,210.88,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000061,CUST-004,Fresh,19,50.25,486.94,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000062,CUST-004,Frozen,25,38.96,644.05,False,False,20.0,29.22,0.0,0.0,49.22,1.97
TXN-2023-000063,CUST-004,Frozen,19,29.61,482.1,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000064,CUST-004,Frozen,25,38.96,641.33,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000065,CUST-004,Fresh,49,129.58,1234.97,False,False,20.0,97.19,20.0,0.0,137.19,2.8
TXN-2023-000066,CUST-004,Grocery,11,52.13,293.02,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000067,CUST-004,Fresh,118,312.06,2956.27,False,False,20.0,234.04,20.0,0.0,274.04,2.32
TXN-2023-000068,CUST-004,Fresh,25,66.11,626.56,False,False,20.0,49.59,20.0,0.0,89.59,3.58
TXN-2023-000069,CUST-004,Frozen,21,32.72,542.91,False,False,20.0,24.54,0.0,0.0,44.54,2.12
TXN-2023-000070,CUST-004,Fresh,24,63.47,619.32,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000071,CUST-004,DetergentsPaper,32,32.5,814.1,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000072,CUST-004,Fresh,40,105.78,1006.69,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000073,CUST-004,Fresh,14,37.02,358.16,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000074,CUST-004,Fresh,26,68.76,665.35,False,False,20.0,51.57,20.0,0.0,91.57,3.52
TXN-2023-000075,CUST-004,Delicatessen,33,20.25,846.91,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000076,CUST-004,Fresh,24,63.47,622.44,False,False,20.0,47.6,20.0,0.0,87.6,3.65
TXN-2023-000077,CUST-004,Grocery,30,142.18,771.92,False,True,20.0,106.63,0.0,20.0,146.63,4.89
TXN-2023-000078,CUST-004,Fresh,40,105.78,1020.95,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000079,CUST-004,Fresh,17,44.96,429.95,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000080,CUST-004,Frozen,15,23.37,389.21,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000081,CUST-005,Milk,200,175.52,5021.3,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000082,CUST-005,Fresh,49,129.58,1227.66,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000083,CUST-005,Milk,184,161.48,4606.69,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000084,CUST-005,Fresh,110,290.9,2761.95,False,False,20.0,218.18,20.0,0.0,258.17,2.35
TXN-2023-000085,CUST-005,Fresh,182,481.31,4560.86,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000086,CUST-005,Frozen,112,174.52,2808.61,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000087,CUST-005,Fresh,306,809.23,7670.87,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000088,CUST-005,Fresh,132,349.08,3314.4,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000089,CUST-005,Fresh,117,309.41,2936.2,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000090,CUST-005,Fresh,176,465.44,4404.73,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000091,CUST-005,Grocery,55,260.66,1381.12,False,False,20.0,195.49,0.0,0.0,215.49,3.92
TXN-2023-000092,CUST-005,Milk,216,189.56,5405.59,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000093,CUST-006,Grocery,44,208.52,1111.29,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000094,CUST-006,Delicatessen,80,49.08,2021.28,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000095,CUST-006,Grocery,63,298.57,1576.73,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000096,CUST-006,Fresh,82,216.85,2067.21,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000097,CUST-006,Fresh,18,47.6,472.74,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000098,CUST-006,Milk,87,76.35,2199.66,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000099,CUST-006,Milk,57,50.02,1444.23,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000100,CUST-006,DetergentsPaper,78,79.22,1962.95,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000101,CUST-006,Grocery,25,118.48,641.01,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000102,CUST-006,DetergentsPaper,68,69.06,1709.26,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000103,CUST-006,Grocery,41,194.31,1025.85,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000104,CUST-006,Fresh,37,97.85,943.25,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000105,CUST-006,Milk,56,49.15,1407.14,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000106,CUST-006,Fresh,81,214.21,2030.96,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000107,CUST-006,Grocery,58,274.87,1452.43,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000108,CUST-006,Grocery,59,279.61,1479.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000109,CUST-006,Grocery,126,597.14,3165.01,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000110,CUST-007,DetergentsPaper,47,47.73,1180.47,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000111,CUST-007,Fresh,76,200.99,1902.38,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000112,CUST-007,Fresh,38,100.49,966.93,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000113,CUST-007,Fresh,77,203.63,1945.61,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000114,CUST-007,Milk,79,69.33,1988.85,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000115,CUST-007,Fresh,88,232.72,2212.56,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000116,CUST-007,Grocery,58,274.87,1465.58,True,True,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000117,CUST-007,DetergentsPaper,53,53.83,1334.37,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000118,CUST-007,Milk,74,64.94,1860.69,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000119,CUST-007,DetergentsPaper,67,68.05,1699.52,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000120,CUST-007,Fresh,47,124.29,1191.69,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000121,CUST-007,Milk,75,65.82,1890.97,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000122,CUST-007,Grocery,30,142.18,767.14,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000123,CUST-007,DetergentsPaper,51,51.8,1294.16,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000124,CUST-007,Fresh,70,185.12,1761.29,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000125,CUST-007,Fresh,33,87.27,825.25,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000126,CUST-007,Grocery,62,293.83,1551.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000127,CUST-007,Fresh,25,66.11,626.53,False,False,20.0,49.59,20.0,0.0,89.59,3.58
TXN-2023-000128,CUST-008,Grocery,96,454.96,2416.21,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000129,CUST-008,Delicatessen,96,58.9,2416.21,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000130,CUST-008,Delicatessen,90,55.22,2252.96,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000131,CUST-008,Grocery,26,123.22,659.54,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000132,CUST-008,DetergentsPaper,98,99.53,2466.25,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000133,CUST-008,Grocery,107,507.09,2693.93,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000134,CUST-008,Fresh,23,60.82,580.75,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000135,CUST-008,DetergentsPaper,100,101.56,2523.69,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000136,CUST-008,Delicatessen,39,23.93,998.1,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000137,CUST-008,Grocery,46,218.0,1161.41,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000138,CUST-008,Frozen,70,109.08,1767.06,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000139,CUST-008,Grocery,46,218.0,1168.36,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000140,CUST-008,Delicatessen,63,38.65,1587.02,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000141,CUST-008,Fresh,59,156.03,1477.32,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000142,CUST-008,DetergentsPaper,60,60.94,1504.21,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000143,CUST-008,Fresh,153,404.62,3843.97,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000144,CUST-009,Fresh,4,10.58,103.35,False,False,20.0,7.93,20.0,0.0,47.93,11.98
TXN-2023-000145,CUST-009,DetergentsPaper,25,25.39,625.99,False,False,20.0,19.04,0.0,0.0,39.04,1.56
TXN-2023-000146,CUST-009,DetergentsPaper,17,17.27,444.53,False,False,20.0,12.95,0.0,0.0,32.95,1.94
TXN-2023-000147,CUST-009,Grocery,19,90.04,497.13,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000148,CUST-009,DetergentsPaper,12,12.19,309.96,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000149,CUST-009,Fresh,15,39.67,377.55,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000150,CUST-009,Delicatessen,15,9.2,384.93,True,False,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2023-000151,CUST-009,Milk,16,14.04,407.61,True,False,0.0,0.0,0.0,0.0,0.0,0.0
