TRANSACTIONID,CUSTOMERID,TRANSACTIONAMOUNT,ISURGENT,BASE_SHIPPING_COST,URGENT_SURCHARGE,SIZE_SURCHARGE,TOTAL_SHIPPING_COST
TXN-2023-000001,CUST-001,1442.25,true,43.27,43.27,0.00,86.54
TXN-2023-000002,CUST-001,2457.25,false,73.72,0.00,0.00,73.72
TXN-2023-000003,CUST-001,1043.33,false,31.30,0.00,0.00,31.30
TXN-2023-000004,CUST-001,3973.08,false,119.19,0.00,35.76,154.95
TXN-2023-000005,CUST-001,3973.08,false,119.19,0.00,35.76,154.95
TXN-2023-000006,CUST-001,2787.21,false,83.62,0.00,0.00,83.62
TXN-2023-000007,CUST-001,1420.33,false,42.61,0.00,0.00,42.61
TXN-2023-000008,CUST-001,1460.44,false,43.81,0.00,0.00,43.81
TXN-2023-000009,CUST-001,2143.21,false,64.30,0.00,0.00,64.30
TXN-2023-000010,CUST-001,729.56,false,21.89,0.00,0.00,21.89
TXN-2023-000011,CUST-001,560.89,false,16.83,0.00,0.00,16.83
TXN-2023-000012,CUST-001,2567.79,false,77.03,0.00,0.00,77.03
TXN-2023-000013,CUST-001,3951.71,false,118.55,0.00,35.57,154.12
TXN-2023-000014,CUST-001,1696.28,false,50.89,0.00,0.00,50.89
TXN-2023-000015,CUST-001,2039.20,false,61.18,0.00,0.00,61.18
TXN-2023-000016,CUST-001,1866.38,false,55.99,0.00,0.00,55.99
TXN-2023-000017,CUST-002,2099.60,false,62.99,0.00,0.00,62.99
TXN-2023-000018,CUST-002,3629.81,false,108.89,0.00,32.67,141.56
TXN-2023-000019,CUST-002,2136.44,false,64.09,0.00,0.00,64.09
TXN-2023-000020,CUST-002,3491.56,false,104.75,0.00,31.42,136.17
TXN-2023-000021,CUST-002,2049.78,false,61.49,0.00,0.00,61.49
TXN-2023-000022,CUST-002,1199.65,false,35.99,0.00,0.00,35.99
TXN-2023-000023,CUST-002,1613.87,false,48.42,0.00,0.00,48.42
TXN-2023-000024,CUST-002,1935.69,false,58.07,0.00,0.00,58.07
TXN-2023-000025,CUST-002,1228.88,false,36.87,0.00,0.00,36.87
TXN-2023-000026,CUST-002,2020.74,false,60.62,0.00,0.00,60.62
TXN-2023-000027,CUST-002,1584.54,false,47.54,0.00,0.00,47.54
TXN-2023-000028,CUST-002,1657.17,false,49.72,0.00,0.00,49.72
TXN-2023-000029,CUST-002,2776.68,false,83.30,0.00,0.00,83.30
TXN-2023-000030,CUST-002,907.22,true,27.22,27.22,0.00,54.43
