TransactionID,CustomerID,CustomerSegment,TransactionAmount_EUR,PaymentTerms,DSO_Days,AnnualInterestRate,DailyInterestCost_EUR,DSO_InterestCost_EUR
TXN-2023-000001,CUST-001,Mid-Market,1442.25,Net-60,60,0.05,0.1976,11.85
TXN-2023-000002,CUST-001,Mid-Market,2457.25,Net-90,90,0.05,0.3366,30.29
TXN-2023-000003,CUST-001,Mid-Market,1043.33,Net-60,60,0.05,0.1429,8.58
TXN-2023-000004,CUST-001,Mid-Market,3973.08,Net-60,60,0.05,0.5443,32.66
TXN-2023-000005,CUST-001,Mid-Market,3973.08,Net-30,30,0.05,0.5443,16.33
TXN-2023-000006,CUST-001,Mid-Market,2787.21,Net-30,30,0.05,0.3818,11.45
TXN-2023-000007,CUST-001,Mid-Market,1420.33,Net-30,30,0.05,0.1946,5.84
TXN-2023-000008,CUST-001,Mid-Market,1460.44,Net-60,60,0.05,0.2001,12.0
TXN-2023-000009,CUST-001,Mid-Market,2143.21,Net-60,60,0.05,0.2936,17.62
TXN-2023-000010,CUST-001,Mid-Market,729.56,Net-60,60,0.05,0.0999,6.0
TXN-2023-000011,CUST-001,Mid-Market,560.89,Net-60,60,0.05,0.0768,4.61
TXN-2023-000012,CUST-001,Mid-Market,2567.79,Net-90,90,0.05,0.3518,31.66
TXN-2023-000013,CUST-001,Mid-Market,3951.71,Net-30,30,0.05,0.5413,16.24
TXN-2023-000014,CUST-001,Mid-Market,1696.28,Net-60,60,0.05,0.2324,13.94
TXN-2023-000015,CUST-001,Mid-Market,2039.2,Net-60,60,0.05,0.2793,16.76
TXN-2023-000016,CUST-001,Mid-Market,1866.38,Net-30,30,0.05,0.2557,7.67
TXN-2023-000017,CUST-002,Mid-Market,2099.6,Net-30,30,0.05,0.2876,8.63
TXN-2023-000018,CUST-002,Mid-Market,3629.81,Net-60,60,0.05,0.4972,29.83
TXN-2023-000019,CUST-002,Mid-Market,2136.44,Net-30,30,0.05,0.2927,8.78
TXN-2023-000020,CUST-002,Mid-Market,3491.56,Net-30,30,0.05,0.4783,14.35
TXN-2023-000021,CUST-002,Mid-Market,2049.78,Net-60,60,0.05,0.2808,16.85
TXN-2023-000022,CUST-002,Mid-Market,1199.65,Net-60,60,0.05,0.1643,9.86
TXN-2023-000023,CUST-002,Mid-Market,1613.87,Net-60,60,0.05,0.2211,13.26
TXN-2023-000024,CUST-002,Mid-Market,1935.69,Net-30,30,0.05,0.2652,7.95
TXN-2023-000025,CUST-002,Mid-Market,1228.88,Net-60,60,0.05,0.1683,10.1
TXN-2023-000026,CUST-002,Mid-Market,2020.74,Net-60,60,0.05,0.2768,16.61
TXN-2023-000027,CUST-002,Mid-Market,1584.54,Net-90,90,0.05,0.2171,19.54
TXN-2023-000028,CUST-002,Mid-Market,1657.17,Net-60,60,0.05,0.227,13.62
TXN-2023-000029,CUST-002,Mid-Market,2776.68,Net-60,60,0.05,0.3804,22.82
TXN-2023-000030,CUST-002,Mid-Market,907.22,Net-30,30,0.05,0.1243,3.73
TXN-2023-000031,CUST-002,Mid-Market,2474.52,Net-90,90,0.05,0.339,30.51
TXN-2023-000032,CUST-002,Mid-Market,2459.85,Net-90,90,0.05,0.337,30.33
TXN-2023-000033,CUST-003,Mid-Market,7355.12,Net-30,30,0.05,1.0076,30.23
TXN-2023-000034,CUST-003,Mid-Market,3588.89,Net-90,90,0.05,0.4916,44.25
TXN-2023-000035,CUST-003,Mid-Market,3416.48,Net-60,60,0.05,0.468,28.08
TXN-2023-000036,CUST-003,Mid-Market,1561.35,Net-60,60,0.05,0.2139,12.83
TXN-2023-000037,CUST-003,Mid-Market,1404.01,Net-90,90,0.05,0.1923,17.31
TXN-2023-000038,CUST-003,Mid-Market,3032.51,Net-30,30,0.05,0.4154,12.46
TXN-2023-000039,CUST-003,Mid-Market,4636.8,Net-60,60,0.05,0.6352,38.11
TXN-2023-000040,CUST-003,Mid-Market,1295.43,Net-30,30,0.05,0.1775,5.32
TXN-2023-000041,CUST-003,Mid-Market,2130.17,Net-60,60,0.05,0.2918,17.51
TXN-2023-000042,CUST-003,Mid-Market,2540.88,Net-60,60,0.05,0.3481,20.88
TXN-2023-000043,CUST-003,Mid-Market,3811.44,Net-30,30,0.05,0.5221,15.66
TXN-2023-000044,CUST-003,Mid-Market,1836.92,Net-60,60,0.05,0.2516,15.1
TXN-2023-000045,CUST-004,Mid-Market,658.59,Net-60,60,0.05,0.0902,5.41
TXN-2023-000046,CUST-004,Mid-Market,802.01,Net-60,60,0.05,0.1099,6.59
TXN-2023-000047,CUST-004,Mid-Market,1746.71,Net-90,90,0.05,0.2393,21.53
TXN-2023-000048,CUST-004,Mid-Market,672.9,Net-90,90,0.05,0.0922,8.3
TXN-2023-000049,CUST-004,Mid-Market,309.44,Net-60,60,0.05,0.0424,2.54
TXN-2023-000050,CUST-004,Mid-Market,1510.24,Net-90,90,0.05,0.2069,18.62
TXN-2023-000051,CUST-004,Mid-Market,1131.87,Net-90,90,0.05,0.1551,13.95
TXN-2023-000052,CUST-004,Mid-Market,421.72,Net-60,60,0.05,0.0578,3.47
TXN-2023-000053,CUST-004,Mid-Market,427.59,Net-90,90,0.05,0.0586,5.27
TXN-2023-000054,CUST-004,Mid-Market,526.61,Net-90,90,0.05,0.0721,6.49
TXN-2023-000055,CUST-004,Mid-Market,533.51,Net-60,60,0.05,0.0731,4.39
TXN-2023-000056,CUST-004,Mid-Market,1531.76,Net-60,60,0.05,0.2098,12.59
TXN-2023-000057,CUST-004,Mid-Market,594.93,Net-60,60,0.05,0.0815,4.89
TXN-2023-000058,CUST-004,Mid-Market,376.86,Net-90,90,0.05,0.0516,4.65
TXN-2023-000059,CUST-004,Mid-Market,472.27,Net-60,60,0.05,0.0647,3.88
TXN-2023-000060,CUST-004,Mid-Market,210.88,Net-30,30,0.05,0.0289,0.87
TXN-2023-000061,CUST-004,Mid-Market,486.94,Net-30,30,0.05,0.0667,2.0
TXN-2023-000062,CUST-004,Mid-Market,644.05,Net-30,30,0.05,0.0882,2.65
TXN-2023-000063,CUST-004,Mid-Market,482.1,Net-30,30,0.05,0.066,1.98
TXN-2023-000064,CUST-004,Mid-Market,641.33,Net-60,60,0.05,0.0879,5.27
TXN-2023-000065,CUST-004,Mid-Market,1234.97,Net-30,30,0.05,0.1692,5.08
TXN-2023-000066,CUST-004,Mid-Market,293.02,Net-90,90,0.05,0.0401,3.61
TXN-2023-000067,CUST-004,Mid-Market,2956.27,Net-30,30,0.05,0.405,12.15
TXN-2023-000068,CUST-004,Mid-Market,626.56,Net-60,60,0.05,0.0858,5.15
TXN-2023-000069,CUST-004,Mid-Market,542.91,Net-60,60,0.05,0.0744,4.46
TXN-2023-000070,CUST-004,Mid-Market,619.32,Net-60,60,0.05,0.0848,5.09
TXN-2023-000071,CUST-004,Mid-Market,814.1,Net-90,90,0.05,0.1115,10.04
