TransactionID,CustomerID,CustomerSegment,ProductCategory,TransactionAmount_EUR,BaseOverhead_EUR,SegmentMultiplier,SegmentAdjustedOverhead_EUR,ProductAdjustment_EUR,TotalAllocatedOverhead_EUR,OverheadAsPercentOfRevenue
TXN-2023-000001,CUST-001,Mid-Market,Grocery,1442.25,81.45,1.1,89.59,-5.0,84.59,5.87
TXN-2023-000002,CUST-001,Mid-Market,Grocery,2457.25,81.45,1.1,89.59,-5.0,84.59,3.44
TXN-2023-000003,CUST-001,Mid-Market,Fresh,1043.33,81.45,1.1,89.59,10.0,99.59,9.55
TXN-2023-000004,CUST-001,Mid-Market,Grocery,3973.08,81.45,1.1,89.59,-5.0,84.59,2.13
TXN-2023-000005,CUST-001,Mid-Market,Grocery,3973.08,81.45,1.1,89.59,-5.0,84.59,2.13
TXN-2023-000006,CUST-001,Mid-Market,Fresh,2787.21,81.45,1.1,89.59,10.0,99.59,3.57
TXN-2023-000007,CUST-001,Mid-Market,Milk,1420.33,81.45,1.1,89.59,5.0,94.59,6.66
TXN-2023-000008,CUST-001,Mid-Market,Fresh,1460.44,81.45,1.1,89.59,10.0,99.59,6.82
TXN-2023-000009,CUST-001,Mid-Market,Fresh,2143.21,81.45,1.1,89.59,10.0,99.59,4.65
TXN-2023-000010,CUST-001,Mid-Market,DetergentsPaper,729.56,81.45,1.1,89.59,-5.0,84.59,11.59
TXN-2023-000011,CUST-001,Mid-Market,Fresh,560.89,81.45,1.1,89.59,10.0,99.59,17.76
TXN-2023-000012,CUST-001,Mid-Market,Milk,2567.79,81.45,1.1,89.59,5.0,94.59,3.68
TXN-2023-000013,CUST-001,Mid-Market,Fresh,3951.71,81.45,1.1,89.59,10.0,99.59,2.52
TXN-2023-000014,CUST-001,Mid-Market,Milk,1696.28,81.45,1.1,89.59,5.0,94.59,5.58
TXN-2023-000015,CUST-001,Mid-Market,Milk,2039.2,81.45,1.1,89.59,5.0,94.59,4.64
TXN-2023-000016,CUST-001,Mid-Market,Frozen,1866.38,81.45,1.1,89.59,0.0,89.59,4.8
TXN-2023-000017,CUST-002,Mid-Market,Milk,2099.6,81.45,1.1,89.59,5.0,94.59,4.51
TXN-2023-000018,CUST-002,Mid-Market,Milk,3629.81,81.45,1.1,89.59,5.0,94.59,2.61
TXN-2023-000019,CUST-002,Mid-Market,Milk,2136.44,81.45,1.1,89.59,5.0,94.59,4.43
TXN-2023-000020,CUST-002,Mid-Market,Milk,3491.56,81.45,1.1,89.59,5.0,94.59,2.71
TXN-2023-000021,CUST-002,Mid-Market,Frozen,2049.78,81.45,1.1,89.59,0.0,89.59,4.37
TXN-2023-000022,CUST-002,Mid-Market,Grocery,1199.65,81.45,1.1,89.59,-5.0,84.59,7.05
TXN-2023-000023,CUST-002,Mid-Market,Fresh,1613.87,81.45,1.1,89.59,10.0,99.59,6.17
TXN-2023-000024,CUST-002,Mid-Market,Milk,1935.69,81.45,1.1,89.59,5.0,94.59,4.89
TXN-2023-000025,CUST-002,Mid-Market,Grocery,1228.88,81.45,1.1,89.59,-5.0,84.59,6.88
TXN-2023-000026,CUST-002,Mid-Market,Fresh,2020.74,81.45,1.1,89.59,10.0,99.59,4.93
TXN-2023-000027,CUST-002,Mid-Market,Milk,1584.54,81.45,1.1,89.59,5.0,94.59,5.97
TXN-2023-000028,CUST-002,Mid-Market,Fresh,1657.17,81.45,1.1,89.59,10.0,99.59,6.01
TXN-2023-000029,CUST-002,Mid-Market,Grocery,2776.68,81.45,1.1,89.59,-5.0,84.59,3.05
TXN-2023-000030,CUST-002,Mid-Market,Grocery,907.22,81.45,1.1,89.59,-5.0,84.59,9.32
TXN-2023-000031,CUST-002,Mid-Market,Grocery,2474.52,81.45,1.1,89.59,-5.0,84.59,3.42
TXN-2023-000032,CUST-002,Mid-Market,Grocery,2459.85,81.45,1.1,89.59,-5.0,84.59,3.44
TXN-2023-000033,CUST-003,Mid-Market,DetergentsPaper,7355.12,81.45,1.1,89.59,-5.0,84.59,1.15
TXN-2023-000034,CUST-003,Mid-Market,Milk,3588.89,81.45,1.1,89.59,5.0,94.59,2.64
TXN-2023-000035,CUST-003,Mid-Market,Grocery,3416.48,81.45,1.1,89.59,-5.0,84.59,2.48
TXN-2023-000036,CUST-003,Mid-Market,Fresh,1561.35,81.45,1.1,89.59,10.0,99.59,6.38
TXN-2023-000037,CUST-003,Mid-Market,Delicatessen,1404.01,81.45,1.1,89.59,8.0,97.59,6.95
TXN-2023-000038,CUST-003,Mid-Market,Frozen,3032.51,81.45,1.1,89.59,0.0,89.59,2.95
TXN-2023-000039,CUST-003,Mid-Market,Delicatessen,4636.8,81.45,1.1,89.59,8.0,97.59,2.1
TXN-2023-000040,CUST-003,Mid-Market,Milk,1295.43,81.45,1.1,89.59,5.0,94.59,7.3
TXN-2023-000041,CUST-003,Mid-Market,Fresh,2130.17,81.45,1.1,89.59,10.0,99.59,4.68
TXN-2023-000042,CUST-003,Mid-Market,Delicatessen,2540.88,81.45,1.1,89.59,8.0,97.59,3.84
TXN-2023-000043,CUST-003,Mid-Market,Grocery,3811.44,81.45,1.1,89.59,-5.0,84.59,2.22
TXN-2023-000044,CUST-003,Mid-Market,Frozen,1836.92,81.45,1.1,89.59,0.0,89.59,4.88
TXN-2023-000045,CUST-004,Mid-Market,Fresh,658.59,81.45,1.1,89.59,10.0,99.59,15.12
TXN-2023-000046,CUST-004,Mid-Market,Fresh,802.01,81.45,1.1,89.59,10.0,99.59,12.42
