TransactionID,CustomerID,CustomerSegment,ProductCategory,OrderMonth,PaymentTerms,IsStandardOrder,IsUrgent,TransactionAmount,COGS_EUR,WarehouseCost_EUR,ShippingCost_EUR,ReturnsCost_EUR,InterestCost_EUR,OverheadCost_EUR,TotalCost_EUR,Profit_EUR,ProfitMargin_Pct,CostToRevenue_Pct,ProfitabilityCategory,ShouldRaisePrice,ShouldReduceCost,ShouldReviewCustomer
TXN-2023-000001,CUST-001,Mid-Market,Grocery,1,Net-60,True,True,1442.25,865.35,218.91,0.0,0.0,11.85,84.59,1180.7,261.55,18.13,81.87,Highly Profitable,False,False,False
TXN-2023-000002,CUST-001,Mid-Market,Grocery,1,Net-90,False,False,2457.25,1474.35,333.74,368.33,0.0,30.29,84.59,2291.3,165.95,6.75,93.25,Highly Profitable,False,False,False
TXN-2023-000003,CUST-001,Mid-Market,Fresh,2,Net-60,True,False,1043.33,626.0,316.68,0.0,0.0,8.58,99.59,1050.85,-7.52,-0.72,100.72,Breakeven,True,True,True
TXN-2023-000004,CUST-001,Mid-Market,Grocery,3,Net-60,True,False,3973.08,2383.85,312.62,0.0,0.0,32.66,84.59,2813.72,1159.36,29.18,70.82,Highly Profitable,False,False,False
TXN-2023-000005,CUST-001,Mid-Market,Grocery,3,Net-30,True,False,3973.08,2383.85,312.62,0.0,0.0,16.33,84.59,2797.39,1175.69,29.59,70.41,Highly Profitable,False,False,False
TXN-2023-000006,CUST-001,Mid-Market,Fresh,4,Net-30,False,False,2787.21,1672.33,1127.39,260.16,0.0,11.45,99.59,3170.92,-383.71,-13.77,113.77,Loss,True,True,True
TXN-2023-000007,CUST-001,Mid-Market,Milk,5,Net-30,True,False,1420.33,852.2,247.15,0.0,412.77,5.84,94.59,1612.55,-192.22,-13.53,113.53,Loss,True,True,True
TXN-2023-000008,CUST-001,Mid-Market,Fresh,6,Net-60,True,False,1460.44,876.26,353.65,0.0,0.0,12.0,99.59,1341.5,118.94,8.14,91.86,Highly Profitable,False,False,False
TXN-2023-000009,CUST-001,Mid-Market,Fresh,7,Net-60,True,False,2143.21,1285.93,528.28,0.0,0.0,17.62,99.59,1931.42,211.79,9.88,90.12,Highly Profitable,False,False,False
TXN-2023-000010,CUST-001,Mid-Market,DetergentsPaper,8,Net-60,True,False,729.56,437.74,61.85,0.0,0.0,6.0,84.59,590.18,139.38,19.11,80.89,Highly Profitable,False,False,False
TXN-2023-000011,CUST-001,Mid-Market,Fresh,9,Net-60,True,False,560.89,336.53,212.68,0.0,173.98,4.61,99.59,827.39,-266.5,-47.51,147.51,Loss,True,True,True
TXN-2023-000012,CUST-001,Mid-Market,Milk,10,Net-90,True,False,2567.79,1540.67,421.39,0.0,0.0,31.66,94.59,2088.31,479.48,18.67,81.33,Highly Profitable,False,False,False
TXN-2023-000013,CUST-001,Mid-Market,Fresh,10,Net-30,False,False,3951.71,2371.03,1991.34,353.38,0.0,16.24,99.59,4831.58,-879.87,-22.27,122.27,Loss,True,True,True
TXN-2023-000014,CUST-001,Mid-Market,Milk,11,Net-60,True,False,1696.28,1017.77,321.44,0.0,0.0,13.94,94.59,1447.74,248.54,14.65,85.35,Highly Profitable,False,False,False
TXN-2023-000015,CUST-001,Mid-Market,Milk,11,Net-60,True,False,2039.2,1223.52,370.41,0.0,0.0,16.76,94.59,1705.28,333.92,16.38,83.62,Highly Profitable,False,False,False
TXN-2023-000016,CUST-001,Mid-Market,Frozen,12,Net-30,True,False,1866.38,1119.83,212.9,0.0,0.0,7.67,89.59,1429.99,436.39,23.38,76.62,Highly Profitable,False,False,False
TXN-2023-000017,CUST-002,Mid-Market,Milk,1,Net-30,True,False,2099.6,1259.76,331.17,0.0,0.0,8.63,94.59,1694.15,405.45,19.31,80.69,Highly Profitable,False,False,False
TXN-2023-000018,CUST-002,Mid-Market,Milk,2,Net-60,True,False,3629.81,2177.89,596.02,0.0,0.0,29.83,94.59,2898.33,731.48,20.15,79.85,Highly Profitable,False,False,False
TXN-2023-000019,CUST-002,Mid-Market,Milk,2,Net-30,True,False,2136.44,1281.86,372.57,0.0,0.0,8.78,94.59,1757.8,378.64,17.72,82.28,Highly Profitable,False,False,False
TXN-2023-000020,CUST-002,Mid-Market,Milk,3,Net-30,True,False,3491.56,2094.94,563.91,0.0,0.0,14.35,94.59,2767.79,723.77,20.73,79.27,Highly Profitable,False,False,False
TXN-2023-000021,CUST-002,Mid-Market,Frozen,4,Net-60,True,False,2049.78,1229.87,246.01,0.0,0.0,16.85,89.59,1582.32,467.46,22.81,77.19,Highly Profitable,False,False,False
TXN-2023-000022,CUST-002,Mid-Market,Grocery,5,Net-60,True,False,1199.65,719.79,122.04,0.0,0.0,9.86,84.59,936.28,263.37,21.95,78.05,Highly Profitable,False,False,False
TXN-2023-000023,CUST-002,Mid-Market,Fresh,6,Net-60,True,False,1613.87,968.32,386.62,0.0,0.0,13.26,99.59,1467.79,146.08,9.05,90.95,Highly Profitable,False,False,False
TXN-2023-000024,CUST-002,Mid-Market,Milk,7,Net-30,True,False,1935.69,1161.41,308.91,0.0,0.0,7.95,94.59,1572.86,362.83,18.74,81.26,Highly Profitable,False,False,False
TXN-2023-000025,CUST-002,Mid-Market,Grocery,7,Net-60,True,False,1228.88,737.33,117.95,0.0,0.0,10.1,84.59,949.97,278.91,22.7,77.3,Highly Profitable,False,False,False
TXN-2023-000026,CUST-002,Mid-Market,Fresh,8,Net-60,True,False,2020.74,1212.44,515.03,0.0,0.0,16.61,99.59,1843.67,177.07,8.76,91.24,Highly Profitable,False,False,False
TXN-2023-000027,CUST-002,Mid-Market,Milk,8,Net-90,True,False,1584.54,950.72,282.86,0.0,0.0,19.54,94.59,1347.71,236.83,14.95,85.05,Highly Profitable,False,False,False
TXN-2023-000028,CUST-002,Mid-Market,Fresh,9,Net-60,True,False,1657.17,994.3,574.39,0.0,0.0,13.62,99.59,1681.9,-24.73,-1.49,101.49,Breakeven,True,True,True
TXN-2023-000029,CUST-002,Mid-Market,Grocery,9,Net-60,True,False,2776.68,1666.01,250.15,0.0,0.0,22.82,84.59,2023.57,753.11,27.12,72.88,Highly Profitable,False,False,False
TXN-2023-000030,CUST-002,Mid-Market,Grocery,10,Net-30,True,True,907.22,544.33,125.52,0.0,0.0,3.73,84.59,758.17,149.05,16.43,83.57,Highly Profitable,False,False,False
TXN-2023-000031,CUST-002,Mid-Market,Grocery,11,Net-90,True,False,2474.52,1484.71,212.95,0.0,0.0,30.51,84.59,1812.76,661.76,26.74,73.26,Highly Profitable,False,False,False
TXN-2023-000032,CUST-002,Mid-Market,Grocery,12,Net-90,True,False,2459.85,1475.91,227.14,0.0,0.0,30.33,84.59,1817.97,641.88,26.09,73.91,Highly Profitable,False,False,False
TXN-2023-000033,CUST-003,Mid-Market,DetergentsPaper,1,Net-30,True,False,7355.12,4413.07,358.71,0.0,0.0,30.23,84.59,4886.6,2468.52,33.56,66.44,Highly Profitable,False,False,False
TXN-2023-000034,CUST-003,Mid-Market,Milk,2,Net-90,True,False,3588.89,2153.33,554.31,0.0,0.0,44.25,94.59,2846.48,742.41,20.69,79.31,Highly Profitable,False,False,False
TXN-2023-000035,CUST-003,Mid-Market,Grocery,3,Net-60,True,False,3416.48,2049.89,273.28,0.0,0.0,28.08,84.59,2435.84,980.64,28.7,71.3,Highly Profitable,False,False,False
TXN-2023-000036,CUST-003,Mid-Market,Fresh,4,Net-60,True,False,1561.35,936.81,497.04,0.0,0.0,12.83,99.59,1546.27,15.08,0.97,99.03,Profitable,False,True,True
TXN-2023-000037,CUST-003,Mid-Market,Delicatessen,5,Net-90,True,True,1404.01,842.41,572.59,0.0,0.0,17.31,97.59,1529.9,-125.89,-8.97,108.97,Loss,True,True,True
TXN-2023-000038,CUST-003,Mid-Market,Frozen,6,Net-30,True,False,3032.51,1819.51,335.04,0.0,0.0,12.46,89.59,2256.6,775.91,25.59,74.41,Highly Profitable,False,False,False
TXN-2023-000039,CUST-003,Mid-Market,Delicatessen,7,Net-60,False,False,4636.8,2782.08,1866.78,123.12,0.0,38.11,97.59,4907.68,-270.88,-5.84,105.84,Loss,True,True,True
TXN-2023-000040,CUST-003,Mid-Market,Milk,8,Net-30,True,False,1295.43,777.26,264.79,0.0,0.0,5.32,94.59,1141.96,153.47,11.85,88.15,Highly Profitable,False,False,False
TXN-2023-000041,CUST-003,Mid-Market,Fresh,9,Net-60,True,False,2130.17,1278.1,540.3,0.0,0.0,17.51,99.59,1935.5,194.67,9.14,90.86,Highly Profitable,False,False,False
TXN-2023-000042,CUST-003,Mid-Market,Delicatessen,10,Net-60,True,False,2540.88,1524.53,720.38,0.0,720.3,20.88,97.59,3083.68,-542.8,-21.36,121.36,Loss,True,True,True
TXN-2023-000043,CUST-003,Mid-Market,Grocery,11,Net-30,False,False,3811.44,2286.86,509.27,560.27,0.0,15.66,84.59,3456.65,354.79,9.31,90.69,Highly Profitable,False,False,False
TXN-2023-000044,CUST-003,Mid-Market,Frozen,12,Net-60,True,False,1836.92,1102.15,202.43,0.0,0.0,15.1,89.59,1409.27,427.65,23.28,76.72,Highly Profitable,False,False,False
TXN-2023-000045,CUST-004,Mid-Market,Fresh,1,Net-60,False,False,658.59,395.15,314.4,91.57,0.0,5.41,99.59,906.12,-247.53,-37.59,137.59,Loss,True,True,True
TXN-2023-000046,CUST-004,Mid-Market,Fresh,1,Net-60,True,False,802.01,481.21,225.13,0.0,0.0,6.59,99.59,812.52,-10.51,-1.31,101.31,Breakeven,True,True,True
TXN-2023-000047,CUST-004,Mid-Market,Fresh,1,Net-90,False,False,1746.71,1048.03,999.46,176.86,0.0,21.53,99.59,2345.47,-598.76,-34.28,134.28,Loss,True,True,True
TXN-2023-000048,CUST-004,Mid-Market,Frozen,2,Net-90,True,False,672.9,403.74,88.23,0.0,0.0,8.3,89.59,589.86,83.04,12.34,87.66,Highly Profitable,False,False,False
